Data collector,Author,Year,Journal,Vol.p.p,Species,Native,Sample size,Fitness measure,Trait,Selection differential (s),s standard error ,s significance,Selection gradient (B),B standard error,B significance
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,74,"Survival,yr2",tarsus length,0.22,,sig,0.14,0.19,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,42,Survival,beak length,0.29,,ns,0.19,0.26,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,137,Survival,tarsus length,0.17,,ns,0.24,0.17,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,137,Survival,beak depth,0.15,,ns,0.27,0.21,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,44,Mated,beak depth,0.36,,sig,0.32,0.13,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza magnirostris,yes,23,Survival,beak length,0.45,,sig,0.33,0.28,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,74,"Survival,yr2",beak depth,0.31,,sig,0.37,0.19,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza conirostris,yes,42,Survival,tarsus length,0.38,,sig,0.47,0.26,
KingsolverDiamond,"Grant, B. R., and P. R. Grant",1989,American Naturalist,133:377-393,Geospiza magnirostris,yes,23,Survival,beak depth,0.58,,sig,0.62,0.27,
DJW,Gregoire et al,2004,JEB,17:1152-1156,Turdus merula,yes,55,survival,bill colour,,,,,,
DJW,Gregoire et al,2004,JEB,17:1152-1156,Turdus merula,yes,55,number of offspring,bill colour,,,,0.14,0.327,ns
DJW,Gregoire et al,2004,JEB,17:1152-1156,Turdus merula,yes,55,mating success,bill colour,,,,-0.09,0.288,ns
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing spot factor PC:MO,,,,-0.08,0.2,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,body size factor PC:MO,,,,-0.06,0.06,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,body size factor PC:MO,,,,0.08,0.05,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing spot factor PC:MO,,,,0.1,0.05,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,body size factor PC:MO,,,,0.12,0.11,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,reproductive lifespan,body size factor PC:MO,,,,0.17,0.06,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),body size factor PC:MO,,,,0.18,0.09,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,body size factor PC:MO,,,,0.18,0.09,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing spot factor PC:MO,,,,0.21,0.13,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing spot factor PC:MO,,,,0.23,0.09,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing spot factor PC:MO,,,,0.23,0.09,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,body size factor PC:MO,,,,0.23,0.1,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,mating rate (LMS/RLS),body size factor PC:MO,,,,0.27,0.1,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing spot factor PC:MO,,,,0.29,0.1,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing spot factor PC:MO,,,,0.31,0.06,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,lifetime mating success,body size factor PC:MO,,,,0.33,0.11,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,body size factor PC:MO,,,,0.51,0.2,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,thorax width,-0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing spot homogeneity,-0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,clasping attempts per day,body size factor PC:MO,-0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,clasping attempts per day,thorax width,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per copulation,thorax width,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,thorax width,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territorial mating rate,wing length,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing length,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing width,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territory tenure,wing width,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,copulations per clasping,wing width,0.01,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing width,-0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,clasping attempts per day,wing width,-0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,reproductive lifespan,thorax width,0.02,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),thorax width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,thorax width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,thorax width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territory tenure,thorax width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territorial mating rate,thorax width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing spot fullness,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing spot fullness,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per copulation,wing width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing width,0.02,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territorial mating rate,wing width,-0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,thorax width,0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing spot continuity,0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing spot continuity,0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing spot continuity,0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing width,0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing width,0.03,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing spot fullness,-0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,lifetime mating success,thorax width,0.04,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,mating rate (LMS/RLS),thorax width,0.04,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,overall mating rate,thorax width,0.04,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,reproductive lifespan,wing width,0.04,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,mating rate (LMS/RLS),wing width,0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,overall mating rate,wing width,0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing width,0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,thorax width,0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,claspings per attempt,thorax width,0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per copulation,wing length,0.04,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing length,-0.05,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing spot fullness,0.05,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing spot fullness,0.05,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing spot homogeneity,0.05,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,copulations per clasping,wing length,0.05,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing spot continuity,0.05,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,copulations per clasping,body size factor PC:MO,0.05,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territorial mating rate,pink vein area,-0.06,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,clasping attempts per day,wing length,-0.06,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,nonterritorial mating rate,thorax width,0.06,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per day,thorax width,0.06,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing spot fullness,0.06,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territory tenure,wing length,0.06,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,lifetime mating success,wing width,0.07,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing spot homogeneity,0.07,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per copulation,body size factor PC:MO,0.07,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing spot fullness,0.08,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing spot continuity,0.08,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,reproductive lifespan,wing length,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing spot continuity,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing spot homogeneity,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing spot homogeneity,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing length,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing length,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing length,0.09,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing spot continuity,-0.1,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing spot homogeneity,0.11,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing width,0.11,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing spot homogeneity,0.12,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,claspings per attempt,wing width,0.12,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing length,0.12,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,pink vein area,-0.14,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,nonterritorial mating rate,wing width,0.14,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per day,wing width,0.14,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,mating rate (LMS/RLS),wing length,0.16,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,overall mating rate,wing length,0.16,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,lifetime mating success,wing length,0.19,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,copulations per clasping,pink vein area,0.22,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing length,0.22,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,claspings per attempt,wing length,0.27,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,nonterritorial mating rate,wing length,0.3,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per day,wing length,0.3,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per copulation,pink vein area,0.3,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,claspings per attempt,body size factor PC:MO,0.46,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,clasping attempts per day,pink vein area,0.49,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,pink vein area,0.52,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,reproductive lifespan,wing spot size,0.53,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,territory tenure,pink vein area,0.58,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per day,body size factor PC:MO,0.59,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,pink vein area,0.63,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,reproductive lifespan,pink vein area,0.84,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),pink vein area,0.98,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,pink vein area,0.98,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,wing spot size,1.08,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territory tenure,wing spot size,1.25,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,territorial mating rate,wing spot size,1.26,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,pink vein area,1.28,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,mating rate (LMS/RLS),pink vein area,1.32,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,overall mating rate,pink vein area,1.32,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,72,lifetime mating success,pink vein area,1.68,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,mating rate (LMS/RLS),wing spot size,1.72,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,overall mating rate,wing spot size,1.72,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,claspings per attempt,pink vein area,1.9,,ns,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1939-1948,Hetaerina americana,yes,51,lifetime mating success,wing spot size,1.96,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,51,nonterritorial mating rate,pink vein area,2.84,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,nonterritorial mating rate,pink vein area,2.91,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,mating credits per day,pink vein area,2.91,,sig,,,
KingsolverDiamond,"Grether, G.F.",1996,Evolution,50:1949-1957,Hetaerina americana,yes,72,copulations per clasping,thorax width,,,ns,,,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,107,Male reproductive success,time of stream entry (entry onto the breeding grounds),0.3,,sig,0.33,0.09,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male survival,time of stream entry (entry onto the breeding grounds),-0.09,,sig,-0.13,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,107,Male reproductive success,body depth,-0.04,,ns,0.13,0.09,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,107,Male reproductive success,snout length,0.14,,ns,0.12,0.09,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male reproductive success,snout length,-0.05,,ns,-0.02,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male survival,body depth,-0.06,,sig,-0.08,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male survival,body depth,0.06,,sig,0.06,0.02,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male survival,body length,-0.15,,sig,-0.16,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male reproductive success,body depth,-0.01,,ns,0.02,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,107,Male reproductive success,body length,0.52,,sig,0.23,0.05,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male reproductive success,time of stream entry (entry onto the breeding grounds),0.12,,sig,0.15,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male reproductive success,body length,0.08,,sig,0.11,0.03,
KingsolverDiamond,Hamon and Foote,2005,Evolution ,59(5):1104-1118,Oncorhynchus nerka,yes,NA,Male survival,body length,,,ns,,0.02,
KingsolverDiamond,Harvey,1990,Am Nat,136(3):292-304,Clibanarius digueti,yes,120,clutch size,body size,-0.04,,,-0.01,,
KingsolverDiamond,Harvey,1990,Am Nat,136(3):292-304,Clibanarius digueti,yes,120,clutch size,body size,0.69,,,0.48,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,112,Age-1 summer survival,growth (immature fish),-0.07,,ns,0.01,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,body length (immature + mature fish) ,-0.05,,ns,-0.06,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 summer survival,growth (immature + mature fish),-0.03,,ns,,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,condition factor (immature + mature fish) ,0.15,,ns,0.18,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,body length (immature fish) ,-0.12,,ns,-0.12,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,444,Age-1 summer survival,body length (immature + mature fish) ,0.01,,ns,0.01,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 summer survival,body length (immature fish) ,0.04,,ns,0.02,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,body length (immature fish) ,-0.05,,ns,-0.08,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,173,Age-2 winter survival,condition factor (immature fish) ,-0.13,,ns,-0.14,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,condition factor (immature fish) ,-0.02,,ns,-0.01,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,condition factor (immature + mature fish) ,,,ns,-0.02,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,105,Age-2 winter survival,growth (immature fish),0.1,,ns,0.04,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 summer survival,growth (immature + mature fish),0.07,,ns,0.07,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,182,Age-1 summer survival,growth (immature fish),0.11,,ns,0.12,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 summer survival,growth (immature fish),-0.06,,ns,-0.06,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,242,Age-2 winter survival,condition factor (immature + mature fish) ,0.04,,ns,-0.02,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 winter survival,body length (immature fish) ,-0.01,,ns,-0.01,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 summer survival,body length (immature fish) ,-0.01,,ns,-0.01,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 winter survival,body length (immature + mature fish) ,0.01,,ns,,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 winter survival,body length (immature fish) ,0.01,,ns,,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-2 winter survival,growth (immature + mature fish),-0.13,,ns,-0.08,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 winter survival,body length (immature + mature fish) ,-0.01,,ns,-0.01,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,NA,Age-1 summer survival,growth (immature + mature fish),-0.05,,ns,-0.05,,
KingsolverDiamond,Hendry et al.,2003,Conservation Biology ,17(3):795-805,Salmo salar,no,230,Age-1 winter survival,condition factor (immature fish) ,-0.01,,ns,-0.03,,
